LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
2700,05-12,01:07:20.742,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2701,05-12,01:07:20.742,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2702,05-12,01:07:20.743,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2703,05-12,01:07:20.743,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2704,05-12,01:07:20.743,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2705,05-12,01:07:20.750,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2706,05-12,01:07:20.750,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2707,05-12,01:07:20.750,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2708,05-12,01:07:20.751,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2709,05-12,01:07:20.751,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2710,05-12,01:07:20.751,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2711,05-12,01:07:20.758,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2712,05-12,01:07:20.758,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2713,05-12,01:07:20.758,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2714,05-12,01:07:20.759,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2715,05-12,01:07:20.759,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2716,05-12,01:07:20.759,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2717,05-12,01:07:20.769,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2718,05-12,01:07:20.769,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2719,05-12,01:07:20.769,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2720,05-12,01:07:20.770,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2721,05-12,01:07:20.770,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2722,05-12,01:07:20.770,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
2723,05-12,01:07:20.776,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*,[]
2724,05-12,01:07:20.777,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial),[]
